Date,Open,High,Low,Close,Adj Close,Volume
2019-12-06,314.119995,315.309998,314.109985,314.869995,311.497803,48927000
2019-12-09,314.440002,315.179993,313.799988,313.880005,310.518433,34838500
2019-12-10,313.820007,314.549988,312.809998,313.529999,310.172180,52649800
2019-12-11,314.029999,314.700012,313.440002,314.420013,311.052643,53429100
2019-12-12,314.429993,317.989990,314.170013,317.130005,313.733612,96389600
2019-12-13,316.869995,318.670013,316.019989,317.320007,313.921600,81503900
2019-12-16,319.220001,320.149994,317.250000,319.500000,316.078217,82749700
2019-12-17,319.920013,320.250000,319.480011,319.570007,316.147491,61097700
2019-12-18,320.000000,320.250000,319.529999,319.589996,316.167267,48133000
2019-12-19,319.799988,320.980011,319.519989,320.899994,317.463226,85310500
2019-12-20,320.459991,321.970001,319.390015,320.730011,318.855042,147142100
2019-12-23,321.589996,321.649994,321.059998,321.220001,319.342194,52990000
2019-12-24,321.470001,321.519989,320.899994,321.230011,319.352142,20270000
2019-12-26,321.649994,322.950012,321.640015,322.940002,321.052124,30911200
2019-12-27,323.739990,323.799988,322.279999,322.859985,320.972565,42528800
2019-12-30,322.950012,323.100006,320.549988,321.079987,319.202972,49729100
2019-12-31,320.529999,322.130005,320.149994,321.859985,319.978424,57077300
2020-01-02,323.540009,324.890015,322.529999,324.869995,322.970825,59151200
2020-01-03,321.160004,323.640015,321.100006,322.410004,320.525238,77709700
2020-01-06,320.489990,323.730011,320.359985,323.640015,321.748047,55653900
2020-01-07,323.019989,323.540009,322.239990,322.730011,320.843353,40496400
2020-01-08,322.940002,325.779999,322.670013,324.450012,322.553314,68296000
2020-01-09,326.160004,326.730011,325.519989,326.649994,324.740417,48473300
2020-01-10,327.290009,327.459991,325.200012,325.709991,323.805908,53029300
2020-01-13,326.390015,327.959991,325.920013,327.950012,326.032837,47086800
2020-01-14,327.470001,328.619995,326.839996,327.450012,325.535767,62832800
2020-01-15,327.350006,329.019989,327.260010,328.190002,326.271423,72056600
2020-01-16,329.700012,330.920013,329.450012,330.920013,328.985474,54050300
2020-01-17,331.700012,332.179993,330.850006,331.950012,330.009460,95846000
2020-01-21,330.899994,332.179993,330.820007,331.299988,329.363251,77742400
2020-01-22,332.239990,332.950012,331.170013,331.339996,329.403015,48914900
2020-01-23,330.630005,332.170013,329.410004,331.720001,329.780792,51963000
2020-01-24,332.440002,332.529999,327.359985,328.769989,326.848022,87578400
2020-01-27,323.029999,325.119995,322.660004,323.500000,321.608856,84062500
2020-01-28,325.059998,327.850006,323.600006,326.890015,324.979034,63834000
2020-01-29,328.380005,328.630005,326.399994,326.619995,324.710602,53888900
2020-01-30,324.359985,327.910004,323.540009,327.679993,325.764404,75491800
2020-01-31,327.000000,327.170013,320.730011,321.730011,319.849213,113845600
2020-02-03,323.350006,326.160004,323.220001,324.119995,322.225220,69242300
2020-02-04,328.070007,330.010010,327.720001,329.059998,327.136353,62573200
2020-02-05,332.269989,333.089996,330.670013,332.859985,330.914124,65951100
2020-02-06,333.910004,334.190002,332.799988,333.980011,332.027588,50359700
2020-02-07,332.820007,333.989990,331.600006,332.200012,330.257996,64139400
2020-02-10,331.230011,334.750000,331.190002,334.679993,332.723480,42070000
2020-02-11,336.160004,337.019989,334.679993,335.260010,333.300110,54864500
2020-02-12,336.829987,337.649994,336.429993,337.420013,335.447479,43992700
2020-02-13,335.859985,338.119995,335.559998,337.059998,335.089569,54501900
2020-02-14,337.510010,337.730011,336.200012,337.600006,335.626434,64582200
2020-02-18,336.510010,337.670013,335.209991,336.730011,334.761505,57226200
2020-02-19,337.790009,339.079987,337.480011,338.339996,336.362091,48814700
2020-02-20,337.739990,338.640015,333.679993,336.950012,334.980225,74163400
2020-02-21,335.470001,335.809998,332.579987,333.480011,331.530518,113788200
2020-02-24,323.140015,333.559998,321.239990,322.420013,320.535187,161088400
2020-02-25,323.940002,324.609985,311.690002,312.649994,310.822266,218913200
2020-02-26,314.179993,318.109985,310.700012,311.500000,309.678986,194773800
2020-02-27,305.459991,311.559998,297.510010,297.510010,295.770782,284353500
2020-02-28,288.700012,297.890015,285.540009,296.260010,294.528107,385764000
2020-03-02,298.209991,309.160004,294.459991,309.089996,307.283081,238703600
2020-03-03,309.500000,313.839996,297.570007,300.239990,298.484802,300139100
2020-03-04,306.119995,313.100006,303.329987,312.859985,311.031036,176613400
2020-03-05,304.980011,308.470001,300.010010,302.459991,300.691833,186366800
2020-03-06,293.149994,298.779999,290.230011,297.459991,295.721069,228667200
2020-03-09,275.299988,284.190002,273.450012,274.230011,272.626892,309417300
2020-03-10,284.640015,288.519989,273.500000,288.420013,286.733948,276444100
2020-03-11,280.700012,281.940002,270.880005,274.359985,272.756104,255316300
2020-03-12,256.000000,266.660004,247.679993,248.110001,246.659576,392220700
2020-03-13,263.089996,271.480011,248.520004,269.320007,267.745575,329566100
2020-03-16,241.179993,256.899994,237.360001,239.850006,238.447861,297240000
2020-03-17,245.039993,256.170013,237.070007,252.800003,251.322159,262070500
2020-03-18,236.250000,248.369995,228.020004,240.000000,238.596985,327597100
2020-03-19,239.250000,247.380005,232.220001,240.509995,239.103989,289322000
2020-03-20,242.529999,244.470001,228.500000,228.800003,228.800003,347158800
2020-03-23,228.190002,229.679993,218.259995,222.949997,222.949997,326025200
2020-03-24,234.419998,244.100006,233.800003,243.149994,243.149994,235494500
2020-03-25,244.869995,256.350006,239.750000,246.789993,246.789993,299430300
2020-03-26,249.520004,262.799988,249.050003,261.200012,261.200012,257632800
2020-03-27,253.270004,260.809998,251.050003,253.419998,253.419998,224341200
2020-03-30,255.699997,262.429993,253.529999,261.649994,261.649994,171369500
2020-03-31,260.559998,263.329987,256.220001,257.750000,257.750000,194881100
2020-04-01,247.979996,257.660004,243.899994,246.149994,246.149994,189554600
2020-04-02,245.190002,252.679993,244.589996,251.830002,251.830002,177660400
2020-04-03,250.759995,253.320007,245.220001,248.190002,248.190002,135561200
2020-04-06,257.839996,267.000000,248.169998,264.859985,264.859985,188061200
2020-04-07,274.209991,275.029999,264.890015,265.130005,265.130005,201427200
2020-04-08,267.959991,276.000000,265.250000,274.029999,274.029999,153774500
2020-04-09,277.579987,281.200012,275.470001,278.200012,278.200012,190282700
2020-04-13,277.140015,277.510010,271.410004,275.660004,275.660004,114839100
2020-04-14,280.980011,284.899994,275.510010,283.790009,283.790009,134143400
2020-04-15,277.570007,283.940002,275.459991,277.760010,277.760010,121775000
2020-04-16,279.149994,280.029999,275.760010,279.100006,279.100006,131798300
2020-04-17,285.380005,287.299988,282.399994,286.640015,286.640015,146684800
2020-04-20,282.609985,286.790009,281.350006,281.589996,281.589996,100109300
2020-04-21,276.730011,278.040009,272.019989,273.040009,273.040009,126385700
2020-04-22,278.350006,281.000000,276.910004,279.100006,279.100006,93524600
2020-04-23,280.489990,283.940002,278.750000,279.079987,279.079987,104709700
2020-04-24,280.730011,283.700012,278.500000,282.970001,282.970001,85063200
